         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1638    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    196/3    0.001    0.000    0.231    0.077 <frozen importlib._bootstrap>:1002(_find_and_load)
     3615    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      412    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
      175    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     6150    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      175    0.001    0.000    0.115    0.001 sre_compile.py:759(compile)
      792    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2717    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1222    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      869    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     1348    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      145    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    174/3    0.001    0.000    0.230    0.077 <frozen importlib._bootstrap>:659(_load_unlocked)
      276    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
       12    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
    45/14    0.001    0.000    0.015    0.001 css_parser.py:847(parse_selectors)
      991    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
    65/11    0.001    0.000    0.136    0.012 {method 'join' of 'bytes' objects}
     2395    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1267    0.001    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
    195/3    0.001    0.000    0.231    0.077 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      175    0.001    0.000    0.073    0.000 sre_parse.py:937(parse)
      261    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     4858    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2355    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      412    0.001    0.000    0.002    0.000 element.py:932(__new__)
     1223    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      869    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       77    0.000    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
     4446    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
     1983    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
     1813    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      145    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     2355    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      144    0.000    0.000    0.588    0.004 ssl.py:1230(recv_into)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      838    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      144    0.000    0.000    0.588    0.004 socket.py:690(readinto)
     1223    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      412    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
      317    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1155    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
    145/3    0.000    0.000    0.230    0.077 <frozen importlib._bootstrap_external>:844(exec_module)
     1222    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
       16    0.000    0.000    0.001    0.000 enum.py:221(<setcomp>)
