         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1008    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      998    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      997    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      997    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      991    0.012    0.000    0.016    0.000 sre_compile.py:276(_optimize_charset)
      991    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      950    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      939    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      938    0.003    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
      918    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
      900    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10f33aa40}
      900    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      897    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      843    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      843    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      799    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      791    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      790    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
      745    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      728    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      726    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
  719/716    0.009    0.000    0.100    0.000 {built-in method builtins.__build_class__}
      708    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      704    0.000    0.000    0.000    0.000 element.py:1456(get)
