         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      236    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
  295/294    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      264    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      313    0.001    0.000    0.005    0.000 css_parser.py:999(selector_iter)
     1234    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
    264/3    0.001    0.000    0.297    0.099 <frozen importlib._bootstrap>:659(_load_unlocked)
      340    0.001    0.000    0.005    0.000 typing.py:734(__init__)
      429    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
     4225    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     8996    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
2899/2898    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      157    0.001    0.000    0.001    0.000 _events.py:31(__init__)
        4    0.001    0.000    0.011    0.003 element.py:780(_find_all)
     2203    0.001    0.000    0.002    0.000 typing.py:660(_is_dunder)
      296    0.001    0.000    0.008    0.000 _connection.py:382(next_event)
    287/3    0.001    0.000    0.297    0.099 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     5857    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3010    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      177    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     1234    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
      177    0.001    0.000    0.129    0.001 sre_compile.py:759(compile)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
     1121    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        7    0.001    0.000    0.001    0.000 _models.py:984(<listcomp>)
      791    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3132    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      366    0.001    0.000    0.001    0.000 typing.py:189(_collect_type_vars)
      450    0.001    0.000    0.001    0.000 contextlib.py:86(__init__)
      420    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
     6225    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
